TimeStep,CellID,qw,qo
115400,1224,0.58569,3.41431
115425,1224,0.591607,3.40839
115450,1224,0.597448,3.40255
115475,1224,0.603214,3.39679
115500,1224,0.608904,3.3911
115525,1224,0.614519,3.38548
115550,1224,0.620059,3.37994
115575,1224,0.625525,3.37448
115600,1224,0.630917,3.36908
115625,1224,0.636237,3.36376
115650,1224,0.641486,3.35851
115675,1224,0.646665,3.35333
115700,1224,0.651776,3.34822
115725,1224,0.65682,3.34318
115750,1224,0.661799,3.3382
115775,1224,0.666714,3.33329
115800,1224,0.671568,3.32843
115825,1224,0.676361,3.32364
115850,1224,0.681096,3.3189
115875,1224,0.685774,3.31423
115900,1224,0.690397,3.3096
115925,1224,0.694967,3.30503
115950,1224,0.699486,3.30051
115975,1224,0.703956,3.29604
116000,1224,0.708378,3.29162
116025,1224,0.712754,3.28725
116050,1224,0.717085,3.28291
116075,1224,0.721374,3.27863
116100,1224,0.725623,3.27438
116125,1224,0.729832,3.27017
116150,1224,0.734005,3.266
116175,1224,0.738141,3.26186
116200,1224,0.742244,3.25776
116225,1224,0.746314,3.25369
116250,1224,0.750353,3.24965
116275,1224,0.754364,3.24564
116300,1224,0.758347,3.24165
116325,1224,0.762305,3.2377
116350,1224,0.766239,3.23376
116375,1224,0.77015,3.22985
116400,1224,0.774041,3.22596
116425,1224,0.777913,3.22209
116450,1224,0.781768,3.21823
116475,1224,0.785608,3.21439
116500,1224,0.789434,3.21057
116525,1224,0.793249,3.20675
116550,1224,0.797054,3.20295
116575,1224,0.800851,3.19915
116600,1224,0.804642,3.19536
116625,1224,0.80843,3.19157
116650,1224,0.812216,3.18778
116675,1224,0.816002,3.184
116700,1224,0.819791,3.18021
116725,1224,0.823585,3.17642
116750,1224,0.827385,3.17261
116775,1224,0.831195,3.1688
116800,1224,0.835016,3.16498
116825,1224,0.838851,3.16115
116850,1224,0.842703,3.1573
116875,1224,0.846572,3.15343
116900,1224,0.850463,3.14954
116925,1224,0.854377,3.14562
116950,1224,0.858316,3.14168
116975,1224,0.862283,3.13772
117000,1224,0.866279,3.13372
117025,1224,0.870308,3.12969
117050,1224,0.874371,3.12563
117075,1224,0.87847,3.12153
117100,1224,0.882606,3.11739
117125,1224,0.886782,3.11322
117150,1224,0.890999,3.109
117175,1224,0.895258,3.10474
117200,1224,0.899561,3.10044
117225,1224,0.903908,3.09609
117250,1224,0.908301,3.0917
117275,1224,0.912738,3.08726
117300,1224,0.917222,3.08278
117325,1224,0.921752,3.07825
117350,1224,0.926327,3.07367
117375,1224,0.930948,3.06905
117400,1224,0.935613,3.06439
117425,1224,0.940321,3.05968
117450,1224,0.94507,3.05493
117475,1224,0.949861,3.05014
117500,1224,0.954689,3.04531
117525,1224,0.959554,3.04045
