So,Sw,Sg,Cs,MRF,xD
0.467012,0.223077,0.309911,4.6e-14,1.0,0.3383383383383384
0.467014,0.223075,0.309912,3e-14,1.0,0.33933933933933935
0.467015,0.223072,0.309913,1.9e-14,1.0,0.34034034034034033
0.467017,0.22307,0.309913,1.2e-14,1.0,0.34134134134134136
0.467018,0.223068,0.309914,8e-15,1.0,0.34234234234234234
0.46702,0.223066,0.309914,5e-15,1.0,0.3433433433433433
0.467022,0.223064,0.309914,3e-15,1.0,0.34434434434434436
0.467024,0.223062,0.309914,2e-15,1.0,0.34534534534534533
0.467026,0.22306,0.309914,1e-15,1.0,0.3463463463463463
0.467028,0.223059,0.309914,1e-15,1.0,0.34734734734734735
0.46703,0.223057,0.309913,1e-15,1.0,0.3483483483483483
0.467032,0.223055,0.309913,0.0,1.0,0.3493493493493493
0.467034,0.223053,0.309912,0.0,1.0,0.35035035035035034
0.467037,0.223052,0.309912,0.0,1.0,0.3513513513513513
0.467039,0.22305,0.309911,0.0,1.0,0.35235235235235235
0.467042,0.223048,0.30991,0.0,1.0,0.3533533533533534
0.467044,0.223046,0.30991,0.0,1.0,0.35435435435435436
0.467047,0.223045,0.309909,0.0,1.0,0.35535535535535534
0.467049,0.223043,0.309908,0.0,1.0,0.3563563563563564
0.467052,0.223041,0.309907,0.0,1.0,0.35735735735735735
0.467054,0.223039,0.309906,0.0,1.0,0.35835835835835833
0.467057,0.223037,0.309906,0.0,1.0,0.35935935935935936
0.467059,0.223035,0.309905,0.0,1.0,0.36036036036036034
0.467062,0.223033,0.309905,0.0,1.0,0.3613613613613613
0.467064,0.223032,0.309904,0.0,1.0,0.36236236236236236
0.467066,0.22303,0.309904,0.0,1.0,0.36336336336336333
0.467069,0.223027,0.309904,0.0,1.0,0.3643643643643643
0.467071,0.223025,0.309904,0.0,1.0,0.36536536536536535
0.467073,0.223023,0.309904,0.0,1.0,0.3663663663663663
0.467075,0.223021,0.309903,0.0,1.0,0.3673673673673673
0.467077,0.223019,0.309904,0.0,1.0,0.3683683683683684
0.467079,0.223017,0.309904,0.0,1.0,0.36936936936936937
0.467081,0.223015,0.309904,0.0,1.0,0.37037037037037035
0.467083,0.223013,0.309904,0.0,1.0,0.3713713713713714
0.467085,0.22301,0.309904,0.0,1.0,0.37237237237237236
0.467087,0.223008,0.309905,0.0,1.0,0.37337337337337334
0.467089,0.223006,0.309905,0.0,1.0,0.3743743743743744
0.467091,0.223004,0.309906,0.0,1.0,0.37537537537537535
0.467092,0.223002,0.309906,0.0,1.0,0.3763763763763764
0.467094,0.223,0.309907,0.0,1.0,0.37737737737737737
0.467096,0.222997,0.309907,0.0,1.0,0.37837837837837834
0.467097,0.222995,0.309908,0.0,1.0,0.3793793793793794
0.467099,0.222993,0.309908,0.0,1.0,0.38038038038038036
0.4671,0.222991,0.309909,0.0,1.0,0.38138138138138133
0.467102,0.222989,0.309909,0.0,1.0,0.38238238238238237
0.467103,0.222987,0.30991,0.0,1.0,0.3833833833833834
0.467105,0.222984,0.309911,0.0,1.0,0.3843843843843844
0.467107,0.222982,0.309911,0.0,1.0,0.3853853853853854
0.467108,0.22298,0.309912,0.0,1.0,0.3863863863863864
0.46711,0.222978,0.309912,0.0,1.0,0.38738738738738737
0.467111,0.222976,0.309913,0.0,1.0,0.3883883883883884
0.467113,0.222974,0.309913,0.0,1.0,0.3893893893893894
0.467115,0.222972,0.309913,0.0,1.0,0.39039039039039036
0.467117,0.22297,0.309914,0.0,1.0,0.3913913913913914
0.467118,0.222968,0.309914,0.0,1.0,0.3923923923923924
0.46712,0.222966,0.309914,0.0,1.0,0.39339339339339335
0.467122,0.222964,0.309914,0.0,1.0,0.3943943943943944
0.467124,0.222962,0.309914,0.0,1.0,0.39539539539539537
0.467126,0.22296,0.309914,0.0,1.0,0.39639639639639634
0.467128,0.222958,0.309913,0.0,1.0,0.3973973973973974
0.467131,0.222956,0.309913,0.0,1.0,0.39839839839839836
0.467133,0.222954,0.309913,0.0,1.0,0.3993993993993994
0.467135,0.222952,0.309912,0.0,1.0,0.4004004004004004
0.467139,0.222949,0.309912,0.0,1.0,0.4014014014014014
0.46715,0.222938,0.309912,0.0,1.0,0.4024024024024024
0.467203,0.222884,0.309913,0.0,1.0,0.4034034034034034
0.46749,0.222589,0.309921,0.0,1.0,0.4044044044044044
0.469114,0.220909,0.309977,0.0,1.0,0.4054054054054054
0.477934,0.211577,0.310489,0.0,1.0,0.4064064064064064
0.513852,0.170634,0.315514,0.0,1.0,0.4074074074074074
0.561794,0.111173,0.327034,0.0,1.0,0.40840840840840836
0.5704,0.100089,0.329511,0.0,1.0,0.4094094094094094
0.570469,0.1,0.329531,0.0,1.0,0.4104104104104104
0.57047,0.1,0.32953,0.0,1.0,0.41141141141141135
0.570472,0.1,0.329528,0.0,1.0,0.4124124124124124
0.570472,0.1,0.329528,0.0,1.0,0.41341341341341337
0.570473,0.1,0.329527,0.0,1.0,0.41441441441441446
0.570473,0.1,0.329527,0.0,1.0,0.41541541541541543
